"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime"
524199.130,4778999.730,1528.030,8716.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,1.000,586328.942
524200.070,4778999.590,1528.210,9233.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,3.000,586328.942
524201.090,4778999.440,1528.370,9362.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.942
524198.130,4778999.870,1527.800,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.942
524196.780,4778999.910,1527.560,8264.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.935
524197.680,4778999.790,1527.760,10136.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,5.000,586328.935
524198.600,4778999.660,1527.920,10201.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.935
524199.550,4778999.520,1528.140,7231.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,5.000,586328.935
524200.580,4778999.380,1528.280,7877.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.935
524196.160,4778999.940,1527.420,9297.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.928
524197.070,4778999.810,1527.600,9297.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.928
524198.050,4778999.680,1527.870,9103.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,8.000,586328.928
524199.080,4778999.530,1528.020,7683.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.928
524200.020,4778999.400,1528.170,8522.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.928
524195.660,4778999.990,1527.340,10072.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.920
524196.610,4778999.860,1527.520,9362.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.920
524197.510,4778999.730,1527.700,8781.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.920
524198.450,4778999.600,1527.890,9168.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.920
524199.390,4778999.470,1528.090,7231.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.920
524195.910,4778999.990,1527.410,8264.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.913
524196.840,4778999.860,1527.560,8329.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.913
524197.850,4778999.720,1527.760,8070.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.913
524198.830,4778999.580,1528.010,9555.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.913
524199.790,4778999.450,1528.120,7425.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.913
524197.210,4778999.870,1527.590,9362.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.906
524198.160,4778999.740,1527.790,8135.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.906
524199.030,4778999.620,1528.010,8135.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.906
524200.070,4778999.470,1528.190,8070.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.906
524197.300,4778999.960,1527.630,9749.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.899
524198.320,4778999.820,1527.830,9426.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.899
524199.220,4778999.690,1528.070,9426.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,3.000,586328.899
524200.240,4778999.550,1528.220,8264.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,2.000,586328.899
524201.280,4778999.400,1528.390,9039.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.899
